,id,FIO1,FIO2
0,189,Галчевская Карина Владимировна,Белоновская Анастасия Семеновна
1,206,Офицеров Олег Романович,Сапожник Борис Валерьевич
2,445,Жандарова Лариса Германовна,Чемодуров Дамир Русланович
3,503,Масимова Яна Дамировна,Мингажетдинов Рамиль Семенович
4,571,Мухтарова Алена Яковлевна,Щербатенко Ольга Робертовна
5,595,Русских Кира Константиновна,Федутинов Артем Артурович
6,637,Федонкина Кристина Маратовна,Маргиев Григорий Иванович
7,741,Чернолусская Екатерина Марселевна,Бухановская Лидия Радиковна
8,996,Оранский Владимир Артурович,Скотников Виктор Ильич
9,1210,Ардатов Андрей Анатольевич,Ханыгин Дмитрий Юрьевич
10,1392,Рифтин Кирилл Анатольевич,Гальчевская Полина Васильевна
11,1543,Балог Вадим Никитович,Абушаева Екатерина Юрьевна
12,1679,Голиборода Жанна Александровна,Бычек Виктор Рамилевич
13,1903,Слободяникова Галина Германовна,Васюхнов Глеб Леонидович
14,1935,Вахрушкова Екатерина Маратовна,Лифенко Марсель Константинович
15,2012,Сероштанов Александр Евгеньевич,Оконишников Ефим Викторович
16,2053,Канева Наталья Робертовна,Оверчук Вячеслав Викторович
17,2128,Маркидонов Юрий Антонович,Сайденова Кира Ильдаровна
18,2663,Гаглоева Диана Германовна,Парчевская Элина Валентиновна
19,2679,Скулкин Глеб Альбертович,Ленивцева Кристина Ивановна
20,3203,Малявкин Роберт Григорьевич,Ефремушкин Роман Глебович
21,3311,Коровенко Наталья Валерьевна,Бадалян Семен Георгиевич
22,4229,Приорова Любовь Борисовна,Рашева Лариса Владиславовна
23,4243,Ермошкин Роберт Ярославович,Зозулина Кира Валентиновна
24,4535,Хапланов Артем Максимович,Ивашечкин Марсель Вячеславович
25,4563,Кривозубенко Рамиль Артемович,Ознобишина Алиса Антоновна
26,4962,Сушинский Артур Кириллович,Конарев Владимир Борисович
27,5023,Наумкин Юрий Анатольевич,Солошина Лариса Вячеславовна
28,5417,Партыко Алена Геннадьевна,Бердбекова Юлия Вячеславовна
29,5431,Батюков Вячеслав Артемович,Горовой Ян Алексеевич
30,5641,Модзалевская Карина Дмитриевна,Богоявленский Ян Сергеевич
31,6034,Тулебаева Елизавета Георгиевна,Арман Андрей Евгеньевич
32,6129,Жданов Глеб Маратович,Пелипенко Рамиль Васильевич
33,6216,Хохленков Яков Григорьевич,Баклицкий Илья Тимофеевич
34,6639,Зеленов Егор Иванович,Бересневич Тимофей Радикович
35,6793,Макавеева Надежда Михаиловна,Певец Ефим Германович
36,6921,Кожелупова Мария Даниловна,Колкунова Раиса Ярославовна
37,6944,Филипович Тимур Ефимович,Шкулева Вероника Радиковна
38,6985,Айрапетов Федор Эдуардович,Игина Елена Михаиловна
39,7370,Мормулев Иван Алексеевич,Апанюков Вадим Константинович
40,7373,Телепнева Александра Ильдаровна,Безвенюк Радик Юрьевич
41,7918,Найденышева Александра Валентиновна,Аршавина Оксана Яновна
42,7957,Столин Федор Игоревич,Уверова Екатерина Леонидовна
43,8171,Износкова Анастасия Глебовна,Бугайский Данил Владиславович
44,8469,Наклеушев Рамиль Ильдарович,Вакарчук Надежда Георгиевна
45,8524,Архипенко Жанна Дмитриевна,Кузьминов Дмитрий Геннадьевич
46,8684,Дальский Александр Егорович,Дедушкина Марина Эдуардовна
47,8750,Неумоева Алена Сергеевна,Городцева Александра Алексеевна
48,9285,Рушева Жанна Ефимовна,Наянова Ангелина Семеновна
49,9347,Ясырев Яков Радикович,Радзиевский Герман Эдуардович
50,9589,Щеблыкина Валерия Вячеславовна,Ботяновская Елизавета Артуровна
51,9667,Тишков Филипп Леонидович,Ахтаев Илья Игоревич
52,9738,Комогорова Антонина Павловна,Маликова Юлия Ярославовна
53,9762,Олтуфьев Егор Маратович,Гордягина Галина Андреевна
54,10192,Войников Тимур Витальевич,Стукалова Раиса Викторовна
55,10269,Кузмичев Ян Никитович,Вельмукина Яна Георгиевна
56,10866,Бодякин Андрей Игоревич,Шахрина Лариса Николаевна
57,11072,Файбишевская Эльвира Васильевна,Евстюгов Валентин Алексеевич
58,11146,Горелых Карина Эдуардовна,Вязовая Элина Витальевна
59,11230,Бухараева Оксана Ярославовна,Троицкая Галина Семеновна
60,11304,Тихонычева Маргарита Ивановна,Акопджанян Анатолий Аркадьевич
61,11587,Растова Антонина Дмитриевна,Браилко Глеб Филиппович
62,11826,Шиндяпова Анжелика Петровна,Карманов Артур Филиппович
63,11861,Тарарыкин Юрий Янович,Кукарина Ангелина Игоревна
64,12522,Арифулина Анастасия Васильевна,Чернопуп Валентин Ярославович
65,12952,Торцев Сергей Яковлев,Юшкова Раиса Анатольевна
66,12970,Лялин Рамиль Германович,Мольский Павел Станиславович
67,13112,Флорентьева Раиса Евгеньевна,Бахар Никита Сергеевич
68,13344,Саенков Николай Витальевич,Грешнякова Марина Александровна
69,13529,Вирченко Артур Янович,Лаушкин Василий Александрович
70,13702,Витушкина Людмила Никитовна,Ботя Лидия Германовна
71,13726,Куницын Виктор Григорьевич,Глухенький Руслан Валентинович
72,13753,Шаройко Михаил Романович,Жароков Аркадий Андреевич
73,14020,Асадова Людмила Яновна,Ланчиков Ефим Альбертович
74,14054,Калюжина Альбина Геннадьевна,Хрипина Раиса Радиковна
75,14224,Пищалина Евгения Владимировна,Крыласова Яна Никитовна
76,14241,Павлюковец Валентина Филипповна,Богунова Кристина Кирилловна
77,14404,Яник Раиса Алексеевна,Клюгин Евгений Артурович
78,14440,Немтин Евгений Станиславович,Абубакиров Ян Романович
79,14678,Падейская Анастасия Руслановна,Шерстов Марсель Викторович
80,14839,Литвина Карина Ринатовна,Ледковская Юлия Ярославовна
81,14884,Перевозкин Герман Семенович,Кочелаевский Игорь Федорович
82,15005,Киреев Вадим Николаевич,Пустыльник Вероника Юрьевна
83,15086,Букетова Наталья Сергеевна,Дехтерев Вячеслав Юрьевич
84,15765,Ноженко Кирилл Валерьевич,Сомов Валерий Евгеньевич
85,16320,Абасов Альберт Константинович,Ишунин Станислав Глебович
86,16489,Чарикова Жанна Артемовна,Шебеко Галина Германовна
87,16591,Кульсариева Людмила Денисовна,Шуткин Максим Марселевич
88,16735,Шевкунова Валентина Германовна,Харчистова Раиса Борисовна
89,16931,Матюшенко Илья Игоревич,Подгорский Ярослав Романович
90,16945,Остропятова Лидия Ефимовна,Гирев Антон Робертович
91,17010,Сергулина Екатерина Витальевна,Денисович Илья Янович
92,17377,Победин Вадим Константинович,Иванеев Альберт Яковлев
93,17520,Тяжелов Борис Геннадьевич,Страшников Вадим Яковлев
94,17588,Сплюхин Максим Ильич,Горева Элина Филипповна
95,17658,Самосадский Андрей Станиславович,Доскалиева Екатерина Маратовна
96,18015,Голощекина Тамара Глебовна,Аксенцов Федор Максимович
97,18362,Жженов Филипп Филиппович,Кутдусова Эльвира Васильевна
98,18389,Кушаев Валерий Антонович,Дмитрулина Ангелина Артемовна
99,18632,Баварин Константин Степанович,Борилова Яна Тимуровна
100,18991,Степычев Виталий Германович,Авдонин Артур Олегович
101,19222,Кобрина Александра Павловна,Пятаев Филипп Ильдарович
102,19240,Кастерин Антон Алексеевич,Гладков Роман Дамирович
103,20350,Прыгунова Елизавета Глебовна,Харатьян Леонид Леонидович
104,20545,Ардатова Элина Радиковна,Лошинская Виктория Степановна
105,20582,Крюковский Александр Олегович,Рузин Артур Филиппович
106,20771,Неумоев Федор Викторович,Корин Тимофей Тимурович
107,21236,Лобко Григорий Тимофеевич,Лукьянов Иван Ринатович
108,21532,Биличенко Алексей Семенович,Керашева Лариса Игоревна
109,21568,Говор Олег Тимофеевич,Янышева Валерия Марселевна
110,22607,Корелкина Людмила Константиновна,Малюгин Вадим Ильдарович
111,22715,Поспеев Борис Валентинович,Власюк Карина Яновна
112,22789,Дзизинский Валерий Георгиевич,Абузаров Семен Иванович
113,23105,Табасаранская Антонина Николаевна,Ромкин Денис Радикович
114,23787,Вьюгина Алена Артуровна,Панов Олег Николаевич
115,24084,Тошева Эльвира Ильдаровна,Обабкова Альбина Альбертовна
116,24296,Ревин Дамир Григорьевич,Юхов Глеб Степанович
117,24325,Коровушкин Юрий Никитович,Красюкова Светлана Андреевна
118,24702,Шинкаренков Марсель Аркадьевич,Ожаровский Артем Егорович
119,24932,Синенко Светлана Ивановна,Батанов Андрей Олегович
120,25385,Трушников Александр Викторович,Бурутина Людмила Михаиловна
121,25862,Рахлин Степан Никитович,Букаткин Денис Васильевич
122,26083,Ахтительнов Ринат Константинович,Нахимовская Кристина Евгеньевна
123,26249,Куберская Полина Станиславовна,Половкова Гульнара Валентиновна
124,26273,Щаникова Анжелика Павловна,Зинченко Дарья Даниловна
125,26352,Фалелиева Лилия Станиславовна,Ягафарова Ирина Аркадьевна
126,26613,Махортова Тамара Валерьевна,Котюков Юрий Степанович
127,26813,Слетова Вероника Яковлевна,Куйбышева Альбина Григорьевна
128,27100,Несмачный Тимур Иванович,Тарасюк Филипп Глебович
129,27117,Якимишина Лидия Геннадьевна,Фотик Елена Максимовна
130,27120,Янаева Лилия Даниловна,Вадьяев Роман Аркадьевич
131,27308,Джуманбекова Людмила Робертовна,Мерлин Иван Вячеславович
132,27321,Хадиуллина Олеся Владимировна,Тина Валерия Артемовна
133,27467,Сниткина Виктория Викторовна,Слобода Людмила Степановна
134,27938,Городзенская Ксения Антоновна,Бонифатьев Константин Владимирович
135,28210,Власевич Элина Борисовна,Можевитинов Егор Андреевич
136,28727,Епихина Виктория Викторовна,Безуля Анна Дмитриевна
137,28857,Птичкин Николай Ильич,Заломаева Евгения Аркадьевна
138,28866,Коз Вячеслав Владимирович,Гатагов Тимур Владимирович
139,28896,Обреимов Степан Леонидович,Норостова Анастасия Артуровна
140,28903,Анишина Алина Яковлевна,Оненко Юрий Вячеславович
141,29220,Васечко Людмила Николаевна,Царев Николай Германович
142,29442,Вердеревский Руслан Игоревич,Яхимова Гульнара Денисовна
143,30098,Ощепковых Маргарита Григорьевна,Алферов Ярослав Иванович
144,30115,Дежнева Алла Валерьевна,Алексеев Марсель Федорович
145,30155,Кулистикова Антонина Викторовна,Головенко Виктория Яновна
146,30291,Овчарова Лариса Марселевна,Баснин Анатолий Николаевич
147,30338,Игнашин Григорий Владиславович,Калужская Ангелина Радиковна
148,30587,Касилова Светлана Анатольевна,Сахарных Екатерина Степановна
149,30719,Артюшин Радик Русланович,Турчинов Тимур Павлович
150,30722,Аширова Алиса Юрьевна,Бржозовский Рамиль Олегович
151,30869,Радионова Римма Тимуровна,Фабелинский Тимофей Павлович
152,30914,Моникина Ирина Геннадьевна,Князькин Олег Ефимович
153,31051,Олешунин Денис Борисович,Бодин Артем Альбертович
154,31349,Бизяева Ольга Даниловна,Богатенко Тимур Ефимович
155,31576,Гришухина Елена Филипповна,Бедрань Анатолий Рамилевич
156,31706,Шаповалов Константин Ефимович,Комягин Александр Кириллович
157,32132,Шамраев Геннадий Сергеевич,Шустиков Василий Андреевич
158,32345,Усеинова Екатерина Яковлевна,Цуриков Вячеслав Ильич
159,32462,Арапкина Лариса Маратовна,Юшенков Дмитрий Витальевич
160,32817,Мелешко Галина Ярославовна,Петровцев Владимир Никитович
161,33101,Космаков Федор Никитович,Думчева Инна Борисовна
162,33208,Колотов Борис Владиславович,Тадеева Валентина Эдуардовна
163,33893,Качмазов Андрей Александрович,Венгер Кира Валерьевна
164,33958,Евтяева Александра Артемовна,Клокачева Валентина Павловна
165,33972,Маришина Римма Денисовна,Кирютин Аркадий Тимофеевич
166,34066,Полувалова Оксана Дмитриевна,Манов Леонид Данилович
167,34070,Трифилов Семен Тимофеевич,Борисяк Григорий Рамилевич
168,34250,Базылянский Рамиль Сергеевич,Сотскова Полина Олеговна
169,34383,Бабаханова Анастасия Павловна,Безущак Денис Рамилевич
170,34440,Батина Ольга Васильевна,Подберезкина Любовь Яновна
171,34633,Блинушов Павел Алексеевич,Лицов Станислав Германович
172,34937,Коренин Василий Тимофеевич,Мурзич Антонина Николаевна
173,35073,Загваздин Кирилл Валерьевич,Балыш Глеб Борисович
174,35187,Сухинин Александр Максимович,Тонконогих Ольга Олеговна
175,35387,Ховрашов Ринат Артурович,Лупирыба Антонина Викторовна
176,35679,Лелякин Руслан Ярославович,Байракова Валентина Кирилловна
177,35772,Бурганитдинова Ксения Владиславовна,Скопин Яков Ринатович
178,36369,Лупанова Вероника Анатольевна,Тиханина Яна Степановна
179,36418,Хабиров Ярослав Данилович,Евстафьев Дмитрий Юрьевич
180,36455,Нерадивова Лилия Степановна,Сушов Георгий Максимович
181,36614,Рогульская Альбина Олеговна,Арцыбушева Мария Александровна
182,37282,Екатеринина Ксения Яновна,Белопольская Раиса Маратовна
183,37338,Слынько Диана Олеговна,Сельянов Юрий Вячеславович
184,37422,Говендяев Валентин Антонович,Бухреева Елизавета Сергеевна
185,37869,Артамошина Валентина Ринатовна,Вахромеев Эдуард Вячеславович
186,38294,Васинская Светлана Рамилевна,Тимуршин Валерий Семенович
187,38442,Илютина Дарья Маратовна,Тахтамыш Данил Тимофеевич
188,38465,Одинцова Тамара Филипповна,Костерина Лидия Романовна
189,38483,Обнорская Эльмира Марселевна,Коньшина Лидия Павловна
190,38488,Тухаринов Тимофей Олегович,Брянчининов Тимур Владимирович
191,38652,Белоконская Алла Ильинична,Даминова Эльмира Эдуардовна
192,38747,Кортнева Инна Владиславовна,Печеров Марсель Кириллович
193,38792,Мурзаев Семен Борисович,Новолодский Дмитрий Дмитриевич
194,38861,Булдина Алина Вадимовна,Лазарова Лидия Егоровна
195,39268,Вялых Виталий Рамилевич,Бектуганова Наталья Романовна
196,39296,Дубницкий Ринат Русланович,Ласковская Элина Семеновна
197,39370,Шатнова Валентина Павловна,Лариошкин Владислав Константинович
198,39396,Агапонова Евгения Германовна,Силенкова Карина Яковлевна
199,39520,Лобовко Ринат Денисович,Подъяпольская Светлана Васильевна
200,39554,Акутина Оксана Ринатовна,Ващенкова Светлана Ринатовна
201,39564,Нурмагомедов Дмитрий Филиппович,Климкович Светлана Антоновна
202,39591,Лейкин Артем Федорович,Ивахнов Виктор Аркадьевич
203,39642,Городской Глеб Витальевич,Собенина Екатерина Рамилевна
204,39784,Шароваров Дмитрий Вячеславович,Зеленихин Дамир Дмитриевич
205,40043,Шрамков Роман Филиппович,Земляникина Раиса Ильдаровна
206,40081,Милосердов Владислав Ярославович,Байцуренко Николай Степанович
207,40322,Ульбашева Вероника Геннадьевна,Катечкин Валентин Алексеевич
208,40498,Нурбаков Вячеслав Георгиевич,Мазняк Олеся Вячеславовна
209,40506,Гусельников Валентин Радикович,Абдувалиева Светлана Радиковна
210,40831,Тулубьев Вадим Рамилевич,Походенко Татьяна Сергеевна
211,40921,Кирьяк Раиса Валерьевна,Копеева Валерия Егоровна
212,40949,Златогорова Александра Игоревна,Козляков Николай Глебович
213,41165,Окуловский Дмитрий Альбертович,Пацюков Петр Ярославович
214,41775,Червякова Анна Степановна,Серебряникова Раиса Юрьевна
215,41912,Выговская Олеся Евгеньевна,Ракин Рамиль Вадимович
216,42144,Маткин Эдуард Егорович,Обедзинский Георгий Вячеславович
217,42154,Калинская Анна Григорьевна,Баачилов Леонид Витальевич
218,42236,Воронцовская Наталья Семеновна,Елдонина Яна Тимофеевна
219,42265,Нургалин Виталий Радикович,Никитина Ирина Рамилевна
220,42339,Нетиевский Петр Алексеевич,Сагинтаев Владислав Павлович
221,42389,Ахромеева Алина Ивановна,Ящукова Любовь Ефимовна
222,42567,Бочкарь Тимур Рамилевич,Туленкова Инна Алексеевна
223,43073,Орликова Ксения Михаиловна,Грабская Александра Викторовна
224,43139,Чикина Галина Маратовна,Пинхасов Константин Дамирович
225,43198,Дащинский Дамир Валентинович,Федосова Екатерина Романовна
